X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.175450654,4.61924693399999,1811700,12795696,A001391375,2022/01/31 05:00:00+00,12:23:00,2022,ENERO,LUNES,2022/01/31 17:23:00+00,KR 81 C 53 02,VOLCAMIENTO,KENNEDY,1,PASAJERO,N,,MASCULINO,13,PASAJERO
-74.118350244,4.52449501199999,1811786,12795718,A001389480,2022/01/31 05:00:00+00,16:28:00,2022,ENERO,LUNES,2022/01/31 21:28:00+00,KR 14 69 D 02,ATROPELLO,USME,,PEATON,N,,FEMENINO,74,PEATON
-74.104204007,4.625218152,1811849,12794826,A001390228,2022/01/25 05:00:00+00,19:49:00,2022,ENERO,MARTES,2022/01/26 00:49:00+00,CL 13 47 02,CHOQUE,PUENTE ARANDA,1,MOTOCICLISTA,N,,MASCULINO,21,MOTOCICLISTA
-74.112298845,4.65210145200001,1811933,12793926,A001389671,2022/01/13 05:00:00+00,05:15:00,2022,ENERO,JUEVES,2022/01/13 10:15:00+00,KR 68 D 23 02,ATROPELLO,FONTIBON,,PEATON,S,2022/01/21 00:00:00+00,MASCULINO,72,PEATON
-74.101,4.72899999999998,1812361,12797264,A001391729,2022/02/08 05:00:00+00,21:35:00,2022,FEBRERO,MARTES,2022/02/09 02:35:00+00,AVENIDA CIUDAD DE CALI 128 B 02,CHOQUE,SUBA,1,MOTOCICLISTA,N,,MASCULINO,18,MOTOCICLISTA
-74.153803411,4.58116423799999,1812616,12797527,A001391986,2022/02/05 05:00:00+00,23:40:00,2022,FEBRERO,SABADO,2022/02/06 04:40:00+00,KR 51 59 SUR 02,VOLCAMIENTO,CIUDAD BOLIVAR,1,MOTOCICLISTA,S,2022/02/11 05:00:00+00,MASCULINO,32,MOTOCICLISTA
-74.126275179,4.56347071099998,1812893,12812109,A001448889,2022/04/22 05:00:00+00,10:19:00,2022,ABRIL,VIERNES,2022/04/22 15:19:00+00,KR 13 A 52 SUR 02,ATROPELLO,TUNJUELITO,,PEATON,S,2022/04/22 05:00:00+00,FEMENINO,1,PEATON
-74.094,4.63999999999999,1813207,12798119,A001391868,2022/02/12 05:00:00+00,00:53:00,2022,FEBRERO,SABADO,2022/02/12 05:53:00+00,CL 26 50 02,CHOQUE,TEUSAQUILLO,1,CONDUCTOR,N,,MASCULINO,29,CONDUCTOR
-74.094,4.63999999999999,1813208,12798123,A001391868,2022/02/12 05:00:00+00,00:53:00,2022,FEBRERO,SABADO,2022/02/12 05:53:00+00,CL 26 50 02,CHOQUE,TEUSAQUILLO,1,PASAJERO,N,,FEMENINO,27,PASAJERO
-74.184254956,4.63344121699998,1813269,12798192,A001392227,2022/02/07 05:00:00+00,17:20:00,2022,FEBRERO,LUNES,2022/02/07 22:20:00+00,KR 90 52 c SUR 02,ATROPELLO,BOSA,,PEATON,S,2022/02/08 00:00:00+00,MASCULINO,50,PEATON
-74.156076784,4.57812108299998,1813338,12798259,A001392548,2022/02/13 05:00:00+00,13:00:00,2022,FEBRERO,DOMINGO,2022/02/13 18:00:00+00,CL 68 SUR 49 02,ATROPELLO,CIUDAD BOLIVAR,,PEATON,N,,MASCULINO,74,PEATON
-74.105,4.57999999999998,1813560,12854547,A001392590,2022/02/14 05:00:00+00,17:54:00,2022,FEBRERO,LUNES,2022/02/14 22:54:00+00,AVENIDA CARACAS 25 SUR 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,N,,FEMENINO,78,PEATON
-74.095084189,4.57627731500003,1813611,12798531,A001392665,2022/02/12 05:00:00+00,20:30:00,2022,FEBRERO,SABADO,2022/02/13 01:30:00+00,AVENIDA PRIMERO DE MAYO 10 B 02,CHOQUE,ANTONIO NARINO,,PEATON,S,2022/02/14 00:00:00+00,MASCULINO,52,PEATON
-74.160545318,4.59092692600001,1813724,12796720,A001391651,2022/02/06 05:00:00+00,06:09:00,2022,FEBRERO,DOMINGO,2022/02/06 11:09:00+00,KR 70 62 SUR 02,VOLCAMIENTO,CIUDAD BOLIVAR,1,MOTOCICLISTA,N,,MASCULINO,29,MOTOCICLISTA
-74.160545318,4.59092692600001,1813727,12796727,A001391651,2022/02/06 05:00:00+00,06:09:00,2022,FEBRERO,DOMINGO,2022/02/06 11:09:00+00,KR 70 62 SUR 02,VOLCAMIENTO,CIUDAD BOLIVAR,1,PASAJERO,N,,MASCULINO,34,MOTOCICLISTA
-74.100316486,4.72758973999998,1813760,12796756,A001391359,2022/01/30 05:00:00+00,04:55:00,2022,ENERO,DOMINGO,2022/01/30 09:55:00+00,AVENIDA CIUDAD DE CALI 127 02,CHOQUE,SUBA,1,PASAJERO,S,2022/05/20 00:00:00+00,FEMENINO,38,PASAJERO
-74.130393928,4.56220782000003,1813907,12798833,A001391599,2022/02/09 05:00:00+00,21:00:00,2022,FEBRERO,MIERCOLES,2022/02/10 02:00:00+00,CL 57 SUR 13 F 02,ATROPELLO,TUNJUELITO,,PEATON,N,,MASCULINO,62,PEATON
-74.126663996,4.56689354299999,1813909,12798834,A001392230,2022/02/12 05:00:00+00,20:40:00,2022,FEBRERO,SABADO,2022/02/13 01:40:00+00,KR 14 51 SUR 02,ATROPELLO,TUNJUELITO,,PEATON,N,,MASCULINO,21,PEATON
-74.106967945,4.59829490800001,1814232,12799156,A001392624,2022/02/17 05:00:00+00,01:00:00,2022,FEBRERO,JUEVES,2022/02/17 06:00:00+00,KR 30 8 SUR 02,CHOQUE,ANTONIO NARINO,1,MOTOCICLISTA,N,,MASCULINO,36,MOTOCICLISTA
-74.106967945,4.59829490800001,1814233,12854546,A001392624,2022/02/17 05:00:00+00,01:00:00,2022,FEBRERO,JUEVES,2022/02/17 06:00:00+00,KR 30 8 SUR 02,CHOQUE,ANTONIO NARINO,1,PASAJERO,N,,FEMENINO,22,MOTOCICLISTA
-74.196063131,4.61299724700001,1814772,12798812,A001392809,2022/02/15 05:00:00+00,04:56:00,2022,FEBRERO,MARTES,2022/02/15 09:56:00+00,KR 82 A 72 A SUR 02,ATROPELLO,BOSA,,PEATON,N,,MASCULINO,46,PEATON
-74.127,4.649,1814935,12799870,A001392917,2022/02/20 05:00:00+00,13:00:00,2022,FEBRERO,DOMINGO,2022/02/20 18:00:00+00,KR 72 13 02,ATROPELLO,FONTIBON,,PEATON,N,,MASCULINO,77,PEATON
-74.123606479,4.57432010500003,1815129,12799178,A001392587,2022/02/16 05:00:00+00,21:15:00,2022,FEBRERO,MIERCOLES,2022/02/17 02:15:00+00,AVENIDA CARACAS 44 C SUR 02,VOLCAMIENTO,RAFAEL URIBE URIBE,1,PASAJERO,N,,MASCULINO,37,MOTOCICLISTA
-74.096424594,4.58140621799998,1815181,12800113,A001392982,2022/02/19 05:00:00+00,12:22:00,2022,FEBRERO,SABADO,2022/02/19 17:22:00+00,KR 12 B 17 SUR 02,CHOQUE,ANTONIO NARINO,1,MOTOCICLISTA,S,2022/02/21 05:00:00+00,MASCULINO,41,MOTOCICLISTA
-74.064424111,4.64978001200001,1815230,12800169,A001391750,2022/02/20 05:00:00+00,15:06:00,2022,FEBRERO,DOMINGO,2022/02/20 20:06:00+00,KR 14 63 02,ATROPELLO,BARRIOS UNIDOS,,PEATON,S,2022/02/22 00:00:00+00,MASCULINO,84,PEATON
-74.150155942,4.63340856999997,1815312,12800250,A001392787,2022/02/20 05:00:00+00,18:36:00,2022,FEBRERO,DOMINGO,2022/02/20 23:36:00+00,KR 79 6 02,ATROPELLO,KENNEDY,,PEATON,S,2022/02/22 00:00:00+00,MASCULINO,62,PEATON
-74.156,4.64100000000002,1815504,12800444,A001393004,2022/02/23 05:00:00+00,17:56:00,2022,FEBRERO,MIERCOLES,2022/02/23 22:56:00+00,AVENIDA CIUDAD DE CALI 6 02,CHOQUE,KENNEDY,2,MOTOCICLISTA,N,,FEMENINO,58,MOTOCICLISTA
-74.116,4.71199999999999,1815506,12800447,A001391225,2022/02/23 05:00:00+00,12:30:00,2022,FEBRERO,MIERCOLES,2022/02/23 17:30:00+00,KR 104 78 C 02,VOLCAMIENTO,ENGATIVA,2,CICLISTA,N,,MASCULINO,21,CICLISTA
